Year,Electricity emission factor (kgCO2e/kBtu),Steam emission factor (kgCO2e/kBtu),Gas emission factor (kgCO2e/kBtu)
2027,0.0055,0.0830,0.0530
2028,0.0055,0.0830,0.0530
2029,0.0055,0.0830,0.0530
2030,0.0026,0.0830,0.0530
2031,0.0026,0.0830,0.0530
2032,0.0026,0.0830,0.0530
2033,0.0026,0.0830,0.0530
2034,0.0026,0.0830,0.0530
2035,0.0017,0.0553,0.0530
2036,0.0017,0.0553,0.0530
2037,0.0017,0.0553,0.0530
2038,0.0017,0.0553,0.0530
2039,0.0017,0.0553,0.0530
2040,0.0009,0.0277,0.0530
2041,0.0009,0.0277,0.0530
2042,0.0009,0.0277,0.0530
2043,0.0009,0.0277,0.0530
2044,0.0009,0.0277,0.0530
2045,0.0000,0.0000,0.0530
2046,0.0000,0.0000,0.0530
2047,0.0000,0.0000,0.0530
2048,0.0000,0.0000,0.0530
2049,0.0000,0.0000,0.0530
2050,0.0000,0.0000,0.0530