Year,College/University,College/University,College/University,College/University,College/University,College/University,Entertainment/Public Assembly,Entertainment/Public Assembly,Entertainment/Public Assembly,Entertainment/Public Assembly,Entertainment/Public Assembly,Entertainment/Public Assembly,Fire/Police Station,Fire/Police Station,Fire/Police Station,Fire/Police Station,Fire/Police Station,Fire/Police Station,Hospital,Hospital,Hospital,Hospital,Hospital,Hospital,Hotel,Hotel,Hotel,Hotel,Hotel,Hotel,K-12 School,K-12 School,K-12 School,K-12 School,K-12 School,K-12 School,Laboratory,Laboratory,Laboratory,Laboratory,Laboratory,Laboratory,Multifamily Housing2,Multifamily Housing3,Multifamily Housing4,Multifamily Housing5,Multifamily Housing6,Multifamily Housing7,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Office,Office,Office,Office,Office,Office,Other,Other,Other,Other,Other,Other,Recreation,Recreation,Recreation,Recreation,Recreation,Recreation,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,Restaurant,Restaurant,Restaurant,Restaurant,Restaurant,Restaurant,Retail Store,Retail Store,Retail Store,Retail Store,Retail Store,Retail Store,Self-Storage Facility,Self-Storage Facility,Self-Storage Facility,Self-Storage Facility,Self-Storage Facility,Self-Storage Facility,Senior Living Community,Senior Living Community,Senior Living Community,Senior Living Community,Senior Living Community,Senior Living Community,Services,Services,Services,Services,Services,Services,Supermarket/Grocery Store,Supermarket/Grocery Store,Supermarket/Grocery Store,Supermarket/Grocery Store,Supermarket/Grocery Store,Supermarket/Grocery Store,Worship Facility,Worship Facility,Worship Facility,Worship Facility,Worship Facility,Worship Facility,NA,NA,NA,NA,NA,NA
Building sq ft,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings
Building sq ft category,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F
2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,2.69,0,0,0,0,0,1.18,0,0,0,0,0,2.23,0,0,0,0,0,4.68,0,0,0,0,0,2.06,0,0,0,0,0,0.95,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0.81,0,0,0,0,0,2.48,0,0,0,0,0,3.22,0,0,0,0,0,0.98,0,0,0,0,0,1.16,,0,0,0,0,5.73,0,0,0,0,0,1.03,0,0,0,0,0,0.31,0,0,0,0,0,2.11,0,0,0,0,0,1.36,0,0,0,0,0,3.42,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0
2032,2.69,2.69,0,0,0,0,1.18,1.18,0,0,0,0,2.23,2.23,0,0,0,0,4.68,4.68,0,0,0,0,2.06,2.06,0,0,0,0,0.95,0.95,0,0,0,0,6.3,6.3,0,0,0,0,0,0,0,0,0,0,0.77,0.77,0,0,0,0,0.81,0.81,0,0,0,0,2.48,2.48,0,0,0,0,3.22,3.22,0,0,0,0,0.98,0.98,0,0,0,0,1.16,1.16,0,0,0,0,5.73,5.73,0,0,0,0,1.03,1.03,0,0,0,0,0.31,0.31,0,0,0,0,2.11,2.11,0,0,0,0,1.36,1.36,0,0,0,0,3.42,3.42,0,0,0,0,1.2,1.2,0,0,0,0,0,0,0,0,0,0
2033,2.69,2.69,2.69,0,0,0,1.18,1.18,1.18,0,0,0,2.23,2.23,2.23,0,0,0,4.68,4.68,4.68,0,0,0,2.06,2.06,2.06,0,0,0,0.95,0.95,0.95,0,0,0,6.3,6.3,6.3,0,0,0,0,0,0,0,0,0,0.77,0.77,0.77,0,0,0,0.81,0.81,0.81,0,0,0,2.48,2.48,2.48,0,0,0,3.22,3.22,3.22,0,0,0,0.98,0.98,0.98,0,0,0,1.16,1.16,1.16,0,0,0,5.73,5.73,5.73,0,0,0,1.03,1.03,1.03,0,0,0,0.31,0.31,0.31,0,0,0,2.11,2.11,2.11,0,0,0,1.36,1.36,1.36,0,0,0,3.42,3.42,3.42,0,0,0,1.2,1.2,1.2,0,0,0,0,0,0,0,0,0
2034,2.69,2.69,2.69,2.69,0,0,1.18,1.18,1.18,1.18,0,0,2.23,2.23,2.23,2.23,0,0,4.68,4.68,4.68,4.68,0,0,2.06,2.06,2.06,2.06,0,0,0.95,0.95,0.95,0.95,0,0,6.3,6.3,6.3,6.3,0,0,0,0,0,0,0,0,0.77,0.77,0.77,0.77,0,0,0.81,0.81,0.81,0.81,0,0,2.48,2.48,2.48,2.48,0,0,3.22,3.22,3.22,3.22,0,0,0.98,0.98,0.98,0.98,0,0,1.16,1.16,1.16,1.16,0,0,5.73,5.73,5.73,5.73,0,0,1.03,1.03,1.03,1.03,0,0,0.31,0.31,0.31,0.31,0,0,2.11,2.11,2.11,2.11,0,0,1.36,1.36,1.36,1.36,0,0,3.42,3.42,3.42,3.42,0,0,1.2,1.2,1.2,1.2,0,0,0,0,0,0,0,0
2035,2.69,2.69,2.69,2.69,2.69,0,1.18,1.18,1.18,1.18,1.18,0,2.23,2.23,2.23,2.23,2.23,0,4.68,4.68,4.68,4.68,4.68,0,2.06,2.06,2.06,2.06,2.06,0,0.95,0.95,0.95,0.95,0.95,0,6.3,6.3,6.3,6.3,6.3,0,0.89,0,0,0,0,0,0.77,0.77,0.77,0.77,0.77,0,0.81,0.81,0.81,0.81,0.81,0,2.48,2.48,2.48,2.48,2.48,0,3.22,3.22,3.22,3.22,3.22,0,0.98,0.98,0.98,0.98,0.98,0,1.16,1.16,1.16,1.16,1.16,0,5.73,5.73,5.73,5.73,5.73,0,1.03,1.03,1.03,1.03,1.03,0,0.31,0.31,0.31,0.31,0.31,0,2.11,2.11,2.11,2.11,2.11,0,1.36,1.36,1.36,1.36,1.36,0,3.42,3.42,3.42,3.42,3.42,0,1.2,1.2,1.2,1.2,1.2,0,0,0,0,0,0,0
2036,1.57,2.69,2.69,2.69,2.69,0,0.69,1.18,1.18,1.18,1.18,0,1.3,2.23,2.23,2.23,2.23,0,2.73,4.68,4.68,4.68,4.68,0,1.2,2.06,2.06,2.06,2.06,0,0.56,0.95,0.95,0.95,0.95,0,3.68,6.3,6.3,6.3,6.3,0,0.89,0.89,0,0,0,0,0.45,0.77,0.77,0.77,0.77,0,0.47,0.81,0.81,0.81,0.81,0,1.45,2.48,2.48,2.48,2.48,0,1.88,3.22,3.22,3.22,3.22,0,0.57,0.98,0.98,0.98,0.98,0,0.68,1.16,1.16,1.16,1.16,0,3.34,5.73,5.73,5.73,5.73,0,0.6,1.03,1.03,1.03,1.03,0,0.18,0.31,0.31,0.31,0.31,0,1.23,2.11,2.11,2.11,2.11,0,0.79,1.36,1.36,1.36,1.36,0,2,3.42,3.42,3.42,3.42,0,0.7,1.2,1.2,1.2,1.2,0,0,0,0,0,0,0
2037,1.57,1.57,2.69,2.69,2.69,0,0.69,0.69,1.18,1.18,1.18,0,1.3,1.3,2.23,2.23,2.23,0,2.73,2.73,4.68,4.68,4.68,0,1.2,1.2,2.06,2.06,2.06,0,0.56,0.56,0.95,0.95,0.95,0,3.68,3.68,6.3,6.3,6.3,0,0.89,0.89,0.89,0,0,0,0.45,0.45,0.77,0.77,0.77,0,0.47,0.47,0.81,0.81,0.81,0,1.45,1.45,2.48,2.48,2.48,0,1.88,1.88,3.22,3.22,3.22,0,0.57,0.57,0.98,0.98,0.98,0,0.68,0.68,1.16,1.16,1.16,0,3.34,3.34,5.73,5.73,5.73,0,0.6,0.6,1.03,1.03,1.03,0,0.18,0.18,0.31,0.31,0.31,0,1.23,1.23,2.11,2.11,2.11,0,0.79,0.79,1.36,1.36,1.36,0,2,2,3.42,3.42,3.42,0,0.7,0.7,1.2,1.2,1.2,0,0,0,0,0,0,0
2038,1.57,1.57,1.57,2.69,2.69,0,0.69,0.69,0.69,1.18,1.18,0,1.3,1.3,1.3,2.23,2.23,0,2.73,2.73,2.73,4.68,4.68,0,1.2,1.2,1.2,2.06,2.06,0,0.56,0.56,0.56,0.95,0.95,0,3.68,3.68,3.68,6.3,6.3,0,0.89,0.89,0.89,0.89,0,0,0.45,0.45,0.45,0.77,0.77,0,0.47,0.47,0.47,0.81,0.81,0,1.45,1.45,1.45,2.48,2.48,0,1.88,1.88,1.88,3.22,3.22,0,0.57,0.57,0.57,0.98,0.98,0,0.68,0.68,0.68,1.16,1.16,0,3.34,3.34,3.34,5.73,5.73,0,0.6,0.6,0.6,1.03,1.03,0,0.18,0.18,0.18,0.31,0.31,0,1.23,1.23,1.23,2.11,2.11,0,0.79,0.79,0.79,1.36,1.36,0,2,2,2,3.42,3.42,0,0.7,0.7,0.7,1.2,1.2,0,0,0,0,0,0,0
2039,1.57,1.57,1.57,1.57,2.69,0,0.69,0.69,0.69,0.69,1.18,0,1.3,1.3,1.3,1.3,2.23,0,2.73,2.73,2.73,2.73,4.68,0,1.2,1.2,1.2,1.2,2.06,0,0.56,0.56,0.56,0.56,0.95,0,3.68,3.68,3.68,3.68,6.3,0,0.89,0.89,0.89,0.89,0.89,0,0.45,0.45,0.45,0.45,0.77,0,0.47,0.47,0.47,0.47,0.81,0,1.45,1.45,1.45,1.45,2.48,0,1.88,1.88,1.88,1.88,3.22,0,0.57,0.57,0.57,0.57,0.98,0,0.68,0.68,0.68,0.68,1.16,0,3.34,3.34,3.34,3.34,5.73,0,0.6,0.6,0.6,0.6,1.03,0,0.18,0.18,0.18,0.18,0.31,0,1.23,1.23,1.23,1.23,2.11,0,0.79,0.79,0.79,0.79,1.36,0,2,2,2,2,3.42,0,0.7,0.7,0.7,0.7,1.2,0,0,0,0,0,0,0
2040,1.57,1.57,1.57,1.57,1.57,0,0.69,0.69,0.69,0.69,0.69,0,1.3,1.3,1.3,1.3,1.3,0,2.73,2.73,2.73,2.73,2.73,0,1.2,1.2,1.2,1.2,1.2,0,0.56,0.56,0.56,0.56,0.56,0,3.68,3.68,3.68,3.68,3.68,0,0.63,0.89,0.89,0.89,0.89,0,0.45,0.45,0.45,0.45,0.45,0,0.47,0.47,0.47,0.47,0.47,0,1.45,1.45,1.45,1.45,1.45,0,1.88,1.88,1.88,1.88,1.88,0,0.57,0.57,0.57,0.57,0.57,0,0.68,0.68,0.68,0.68,0.68,0,3.34,3.34,3.34,3.34,3.34,0,0.6,0.6,0.6,0.6,0.6,0,0.18,0.18,0.18,0.18,0.18,0,1.23,1.23,1.23,1.23,1.23,0,0.79,0.79,0.79,0.79,0.79,0,2,2,2,2,2,0,0.7,0.7,0.7,0.7,0.7,0,0,0,0,0,0,0
2041,0,1.57,1.57,1.57,1.57,0,0,0.69,0.69,0.69,0.69,0,0,1.3,1.3,1.3,1.3,0,0,2.73,2.73,2.73,2.73,0,0,1.2,1.2,1.2,1.2,0,0,0.56,0.56,0.56,0.56,0,0,3.68,3.68,3.68,3.68,0,0.63,0.63,0.89,0.89,0.89,0,0,0.45,0.45,0.45,0.45,0,0,0.47,0.47,0.47,0.47,0,0,1.45,1.45,1.45,1.45,0,0,1.88,1.88,1.88,1.88,0,0,0.57,0.57,0.57,0.57,0,0,0.68,0.68,0.68,0.68,0,0,3.34,3.34,3.34,3.34,0,0,0.6,0.6,0.6,0.6,0,0,0.18,0.18,0.18,0.18,0,0,1.23,1.23,1.23,1.23,0,0,0.79,0.79,0.79,0.79,0,0,2,2,2,2,0,0,0.7,0.7,0.7,0.7,0,0,0,0,0,0,0
2042,0,0,1.57,1.57,1.57,0,0,0,0.69,0.69,0.69,0,0,0,1.3,1.3,1.3,0,0,0,2.73,2.73,2.73,0,0,0,1.2,1.2,1.2,0,0,0,0.56,0.56,0.56,0,0,0,3.68,3.68,3.68,0,0.63,0.63,0.63,0.89,0.89,0,0,0,0.45,0.45,0.45,0,0,0,0.47,0.47,0.47,0,0,0,1.45,1.45,1.45,0,0,0,1.88,1.88,1.88,0,0,0,0.57,0.57,0.57,0,0,0,0.68,0.68,0.68,0,0,0,3.34,3.34,3.34,0,0,0,0.6,0.6,0.6,0,0,0,0.18,0.18,0.18,0,0,0,1.23,1.23,1.23,0,0,0,0.79,0.79,0.79,0,0,0,2,2,2,0,0,0,0.7,0.7,0.7,0,0,0,0,0,0,0
2043,0,0,0,1.57,1.57,0,0,0,0,0.69,0.69,0,0,0,0,1.3,1.3,0,0,2.11,0,2.73,2.73,0,0,,0,1.2,1.2,0,0,0,0,0.56,0.56,0,0,0,0,3.68,3.68,0,0.63,0.63,0.63,0.63,0.89,0,0,0,0,0.45,0.45,0,0,0,0,0.47,0.47,0,0,0,0,1.45,1.45,0,0,0,0,1.88,1.88,0,0,0,0,0.57,0.57,0,0,0,0,0.68,0.68,0,0,0,0,3.34,3.34,0,0,0,0,0.6,0.6,0,0,0,0,0.18,0.18,0,0,0,0,1.23,1.23,0,0,0,0,0.79,0.79,0,0,0,0,2,2,0,0,0,0,0.7,0.7,0,0,0,0,0,0,0
2044,0,0,0,0,1.57,0,0,0,0,0,0.69,0,0,0,0,0,1.3,0,0,2.11,0,0,2.73,0,0,,0,0,1.2,0,0,0,0,0,0.56,0,0,0,0,0,3.68,0,0.63,0.63,0.63,0.63,0.63,0,0,0,0,0,0.45,0,0,0,0,0,0.47,0,0,0,0,0,1.45,0,0,0,0,0,1.88,0,0,0,0,0,0.57,0,0,0,0,0,0.68,0,0,0,,0,3.34,0,0,0,0,0,0.6,0,0,0,0,0,0.18,0,0,0,0,0,1.23,0,0,0,0,0,0.79,0,0,0,0,0,2,0,0,0,0,0,0.7,0,0,0,0,0,0,0
2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.11,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0.37,0.63,0.63,0.63,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0.63,0.63,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0.37,0.63,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0.37,0.37,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0.37,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0