PotentialRelatedCompany,Owner Identified,UBINumber,Owning company Best Guess,HQ City,"Assets, $B, Best Guess",Category,How ownership determined,Ownership status,Building1,Building2,Notes,Number still to do,-1,Number Done,204
INTERNATIONAL HOUSE APARTMENTS LLC,AL,604 109 108,GHC Companies,"Los Angeles, CA",2.5,Real Estate Investment,International House is owned by GHC Housing Partners â€” a private company that works with the government for Section 8 projects. Section 8 provides assistance to eligible low- and moderate-income families to rent private housing. The program works as a rental subsidy.,Owned,607 MAYNARD AVE S,,,,,,
TRIANON LLC,af,601 984 474,Coho Real Estate Group,"Seattle, WA",,Seattle Real Estate - Large,"Building listed on property, principal is one of the principals, address matches",,2505 3RD AVE,,,,,,
HONG KONG BUILDING LLC,af,602 299 720,Coho Real Estate Group,"Seattle, WA",,Seattle Real Estate - Large,"Building listed on property, principal is one of the principals, address matches",,507 MAYNARD AVE S,,,,,,
ALPS HOTEL LLC,af,602 294 041,Coho Real Estate Group,"Seattle, WA",,Seattle Real Estate - Large,"Building listed on property, principal is one of the principals, address matches",,621 S KING ST,,,,,,
MILWAUKEE LLC,af,602 298 896,Coho Real Estate Group,"Seattle, WA",,Seattle Real Estate - Large,"Building listed on property, principal is one of the principals, address matches",,664 S KING ST,,,,,,
FAIRFIELD WASHINGTON TERRACE LP,af,604 530 063,Fairfield,"San Diego, CA",10.6,Real Estate Investment & Management,Corporate address and building address match ,,609 YESLER WAY,,,,,,
"Googling ""da li seattle 442 south main"" found this article on sale to da li",AL,603 592 405,Da Li Development,#N/A,#N/A,#N/A,Article showing sale to da li,Owned,442 S MAIN ST,,,,,,
HANA PLACE SEATTLE LLC,af,604 429 817,Security Properties,"Seattle, WA",5.9,Real Estate Investment & Management,"Addresses match, LLC email directs to them",,101 6TH AVE S,,,,,,
LOUISA HOTEL REDEVELOPMENT LLC,af,604 163 166,Woo Family,"Seattle, WA",,Seattle Real Estate (mom/pop),Listed on Historic Seattle and a King 5 article,,665 S KING ST,,,,,,
IBORROW 201 1ST AVENUE OWNER LLC,af,604 506 135,May be foreclosed? Was Seneca Ventures but there was some legal troubles and the building itself seems to be closed now,#N/A,#N/A,#N/A,Was owned by Seneca Ventures but maybe not anymore? https://dfi.wa.gov/documents/securities-orders/S-18-2430-18-CO01.pdf,,201 1ST AVE S,,,,,,
UNICO BOP WASHINGTON PARK LLC,AL,604 431 986,Unico,"Seattle, WA",3.3,Real Estate Investment & Management,Unico listed as Principal,,68 S WASHINGTON ST,,,,,,
UNICO BOP KORN WALKER LLC,AL,604 509 326,Unico,"Seattle, WA",3.3,Real Estate Investment & Management,Unico listed as Principal,,107 OCCIDENTAL AVE S,,,,,,
UNICO BOP COLMAN BUILDING LLC,AL,604 412 880,Unico,"Seattle, WA",3.3,Real Estate Investment & Management,Unico listed as Principal,,811 1ST AVE,,,,,,
UCP 2401 ELLIOTT LLC,AL,604 166 835,Unico,"Seattle, WA",3.3,Real Estate Investment & Management,Unico listed as Principal,,2401 ELLIOTT AVE,,,,,,
SPRING AND 1111 THIRD PROPERTY (SEA) LLC,AL,604 296 470,Unico,"Seattle, WA",3.3,Real Estate Investment & Management,Unico listed as Principal,,1111 3RD AVE,,,,,,
SECOND AND SPRING PROPERTY (SEA) LLC,AL,604 299 552,Unico,"Seattle, WA",3.3,Real Estate Investment & Management,Unico listed as Principal,,1100 2ND AVE,,,,,,
DREAM LEGACY PRU SPE LLC,af,603 538 073,PIneapple Hospitality Co,"Bellevue, WA",,Hotel Chain,"Found article about Pineapple, which owns the hotel",,4242 ROOSEVELT WAY NE,,,,,,
PALLADIAN HOTEL MEMBER LLC,af,604 247 091,GEM Real Estate Partners,"Seattle, WA",2,Seattle Real Estate - Large,LLC links to GEM,,2000 2ND AVE,,,,,,
PALLADIAN HOTEL LLC,af,604 281 143,GEM Real Estate Partners,"Seattle, WA",2,Seattle Real Estate - Large,Found article about purchase,,2000 2ND AVE,,,,,,
2601 ELLIOTT OWNER LLC,af,604 767 289,Shorenstein Company,"San Francisco, CA",9.5,Real Estate Investment,Found property on their website,,2601 ELLIOTT AVE,,,,,,
BIT BCAL BLANCHARD PROPERTY LLC,af,604 361 055,AFL-CIO Building Investment Trust,"Washington, DC",6.4,Real Estate Investment,Found article on BIT buying building; might somehow be related to Beacon Capital as the addresses match ,,2201 6TH AVE,,,,,,
TOUCHSTONE WEST 8TH BUILDING LLC,af,602 656 991,Urban Renaissance Group,"Seattle, WA",,Seattle Real Estate - Large,"Appears to be owned by Touchstone, which is now part of URG",,2004 WESTLAKE AVE,,,,,,
2020 FIFTH HOLDINGS LLC,af,604 314 880,Clise Properties,"Seattle, WA",,Seattle Real Estate - Large,"In their portfolio, addresses match",,2020 5TH AVE,,,,,,
GREAT LAKE INVESTMENT CORPORATION,,603 433 108,Unknown,#N/A,,,Address leads to their CPA,,2603 3RD AVE,,,,,,
BELLTOWN ON FIRST LIMITED PARTNERSHIP,af,604 865 694,Bosa Properties,"Vancouver, BC",,Real Estate Development and Management,Found article on building purchase,,2700 1ST AVE,,,,,,
CORNISH COLLEGE OF THE ARTS,af,600 178 881,Cornish College of the Arts,"Seattle, WA",N/A,Nonprofit,Same address and name,,1000 LENORA ST,1001 LENORA ST,,,,,
900 VIRGINIA STREET LLC,af,602 772 541,May and Wah Lui,"Seattle,WA",,Seattle Real Estate (mom/pop),Have multiple businesses registered with the same address; seems to be related to Yuen Lui studio possibly? Is listed as a Cornish Arts facility but the ownership itself points back to the Lui family,,2014 9TH AVE,,,,,,
BCAL 3005 PROPERTY LLC,af,604 658 165,Beacon Capital Partners,"Boston, MA",13,Real Estate Investment,Property listed in their portfolio,,3005 1ST AVE,,,,,,
WRI 2200 WESTLAKE LP,af,603 587 485,Kimco Realty,"Jericho, NY",11.614,Real Estate Investment,"Address matches company address, WRI merged with Kimco and it is now on their property portfolio",,2200 WESTLAKE AVE,,,,,,
2001 SIXTH LLC,af,602 745 341,Digital Realty,"Austin, TX",,Real Estate Investment,Found article that DR aquired a 49% ownership interest in the Westin from Clise Properties,,2001 6TH AVE,,,,,,
RISE-CG JA LOFTS LIMITED PARTNERSHIP,af,604 523 841,Rise Properties Trust,#N/A,#N/A,#N/A,Found article about purchase of apartments,,62 CEDAR ST,,,,,,
NINTH AND LENORA LLC,af,603 427 336,GID,"Boston, MA",29.7,Real Estate Investment & Management,"Addresses match, article lists GID as owner",,2101 9TH AVE,,,,,,
WINDSOR ADVISERS 2030 EIGHTH AVENUE LLC,af,604 200 365,GID,"Boston, MA",29.7,Real Estate Investment & Management,"Addresses match, Windsor manages the property and Windsor is an affiliate of GID",,2030 8TH AVE,,,,,,
WA TOWER 12 APARTMENTS LLC,af,604 172 610,Weidner Apartment Homes,"Kirkland, WA",,Real Estate Investment & Management,Listed as a property in their portfolio,,2015 2ND AVE,,,,,,
2202 EIGHTH AVENUE LLC,af,603 550 293,Clise Properties,"Seattle, WA",,Seattle Real Estate - Large,"Listed on their portfolio, matches LLC information and address. Property may be co-managed by Greystar?",,2202 8TH AVE,,,,,,
CX3 DAVENPORT LLC,af,604 263 023,Sam and Susie Naficy,"Bellevue, WA",,Seattle Real Estate - size undetermined,Found article on the building purchase (https://news.theregistryps.com/47-unit-davenport-apartments-in-seattles-denny-triangle-area-sells-for-11-1mm/). Sam is a plastic surgeon and has funded other ventures such as a medical device,,420 VINE ST,,,,,,
ALWAYS COMPETE LLC,AL,603 494 119,Westlake Associates,"Seattle, WA",,Seattle Real Estate - Large,Through company address and governor name (works for them),,2014 4TH AVE,,"Note: this building is likely privately held, but managed by Westlake Associates",,,,
2900 ON FIRST APARTMENTS LLC,af,604 936 688,Pacific Urban Investors,"Palo Alto, CA",8,Real Estate Investment & Management,Address matches company headquarters,,2900 1ST AVE,,,,,,
CONCEPT ONE APARTMENTS LLC,af,603 392 633,Josef Stanzl,"Seattle, WA",,Seattle Real Estate (mom/pop),Listed as owner on a few look up sites,,2219 2ND AVE,,,,,,
AGC ARTHOUSE OWNER LLC,af,604 811 933,Angelo Gordon Co.,"New York, NY",53,Asset Management,"Address matches, listed in the LLC",,2334 ELLIOTT AVE,,,,,,
RAR 2501 LLC,af,604 413 118,Robert Rosen,"Seattle, WA",,Seattle Real Estate - size undetermined,"Appears to be owned by Robert Rosen, who may also be the owner of Alaskan Copper. Very little info available, but I think he's a different person than the Robert Rosen from the Bill and Melinda Gates Foundation",,11 VINE ST,,,,,,
SOUND,af,601 097 364,Sound,"Seattle, WA",,Nonprofit,Sound owns the building and used to run a treatment center there but closed it due to maintenance concerns,,2119 2ND AVE,,,,,,
MSI PROVIDENT LLC,af,602 029 841,Martin Smith Inc,#N/A,#N/A,#N/A,"Address matches, building is on their portfolio",,568 1ST AVE S,,,,,,
SEATTLE INDIAN HEALTH BOARD,EM,600 440 936,Seattle Indian Health Board,#N/A,#N/A,#N/A,Google business name,,611 12TH AVE S,,,,,,
ACORN DEVELOPMENT LLC,EM,603 183 512,Amazon,"Seattle, WA",464,"Other large busines (chain store, storage, Amazon, etc)",Google Principals,,Multiple Buildings,,,,,,
MIDTOWN21 LLC,EM,604 129 091,Union Investment / Bankhaus Metzler,#N/A,#N/A,#N/A,Google Principals,,1007  STEWART ST,,,,,,
1821 BOREN AVENUE LLC,EM,604 097 725,Union Investment,"Frankfurt, Germany",56.8,Real Estate Investment,Google Principals,,1821 BOREN AVE,,,,,,
101 DENNY LLC,EM,603 370 372,Johnson & Carr,"Seattle, WA",,Seattle Real Estate - size undetermined,Google Principals,,101 DENNY WAY,,,,,,
RUNNING REBELS OWNER LLC,EM,603 099 961,Pebblebrook Hotel Trust,"Bethesda, MD",3,Real Estate Investment,Google Principals,,1101 4TH AVE,,,,,,
"101 PINE STREET, LLC",EM,604 101 710,Palisociety,"Venice, CA",,Hotel Chain,Google Principals,,107 PINE ST,,,,,,
1915 SECOND AVENUE LLC,af,603 176 132,TruAmerica Multifamily,"Los Angeles, CA",16.1,Real Estate Investment,"According to this article, sold to TruAmerica in 2015",Owned,1915 2ND AVE,,,,,,
FIFTH & PINE LLC,af,602 452 775,Invesco,"Atlanta, GA",1483,Asset Management,Company address matches their TX address,,1513 5TH AVE,,,,,,
TIMES SQUARE BUILDING LLC,af,601 893 912,The Vance Corp,"Seattle, WA",,Seattle Real Estate - Large,"Found article stating them as owners, listed in their portfolio",,414 OLIVE WAY,,,,,,
BGO PLAZA 600 JV LLC,af,604 537 878,Urban Renaissance Group,"Seattle, WA",,Seattle Real Estate - Large,"Suspiciously do not say they own it on the website, but articles state they own it with real estate giant BentallGreenOak",,600 STEWART ST,,,,,,
1800 NINTH ACQUISITION LLC,af,604 533 218,JP Morgan Asset Management,"New York, NY",837.7,Asset Management,"Address matches their headquarters, SSPF is likely ""Special Situation Property Fund"" which JPMorgan has",,1800 9TH AVE,,,,,,
BCAL MET PARK PROPERTY LLC,af,604 316 300,Beacon Capital Partners,"Boston, MA",13,Real Estate Investment,"Property listed in their portfolio, address matches to company address",,1100 OLIVE WAY,1730 MINOR AVE,,,,,
LOGAN BUILDING LLC,af,603 259 948,Unico,"Seattle, WA",3.3,Real Estate Investment & Management,"Found article about building purchase, is listed in Unico's portfolio",Owned,500 UNION ST,,,,,,
LCF DECATUR LLC,af,602 604 949,Kenneth Fisher,"Hunts Point, WA",,Seattle Real Estate - size undetermined,Ken purchased the house associated with the LLC (https://connectedinvestors.com/investment-property/3100-80th-ave-ne/id-195195662) and is listed on his linkedin. Not to be confused with the other Ken Fisher in WA who is a billionaire and founder of Fisher Investments,,1511 6TH AVE,,,,,,
LBA REALTY LLC,af,602 610 453,LBA Realty,"Irvine, CA",,Real Estate Investment & Management,"Principal is listed as the agent, company address matches and is listed as a building in the portfolio",,1424 4TH AVE,,,,,,
JGB LLC,y,602 743 791,Urban Renaissance Group,"Seattle, WA",,Seattle Real Estate - Large,"""Joshua Green Building is proudly owned and managed by Urban Renaissance Group."" on website",,1425 4TH AVE,,,,,,
GO-BRICKMAN MIKEN OWNER LLC,Y,604 336 381,Brickman Fund,Greenwich CT,0.175,Real Estate Development and Managment,,,1417 4TH AVE,,,,,,
GO-BRICKMAN BRODERICK OWNER LLC,Y,604 336 373,Brickman Fund,Greenwich CT,0.175,Real Estate Development and Managment,,,615 2ND AVE,,,,,,
BRICKMAN VANCE OWNER LLC,Y,604 189 238,Brickman Fund,Greenwich CT,0.175,Real Estate Development and Managment,,,1402 3RD AVE,,,,,,
PIKE STREET INVESTORS LLC,af,602 325 768,Unico,"Seattle, WA",3.3,Real Estate Investment & Management,Listed as a Unico property when doing search,,1501 4TH AVE,,,,,,
UNION SQUARE LIMITED LIABILITY COMPANY,af,602 265 343,Washington Holdings,"Seattle, WA",,Real Estate Development and Management,"Google search, address is company headquarters and have property listed ",,601 UNION ST,600 UNIVERSITY ST,,,,,
URG PARK PLACE LLC,af,604 527 666,Urban Renaissance Group,"Seattle, WA",,Seattle Real Estate - Large,Listed as owner and operator on the building website (https://www.parkplaceseattle.com/),,1200 6TH AVE,,,,,,
WESTERN OFFICE PORTFOLIO PROPERTY OWNER LLC,af,604 370 949,Goldman Sachs,"New York, NY",1500,Asset Management,"Purchased by Broad Street Principal Investments, a Goldman Sachs affiliate who bought a number of Seattle buildings in 2019 from Unico. However, Unico is also involved in the property management of this building and still has a share of the ownership",,1501 5TH AVE,506 2ND AVE,,,,,
1415 WESTERN LLC,af,603 397 806,Tim Cavanaugh,#N/A,#N/A,#N/A,Found article on the purchase of the building,,1415 WESTERN AVE,,,,,,
VIRGINIA STREET JOINT VENTURE LLC,af,604 063 765,Martin Smith Inc,#N/A,#N/A,#N/A,"Found the building via google search, Martin Smith Inc has the building on their portfolio. Westbank Corp might be included somehow as their Seattle office is the LLC address",,1201 WESTERN AVE,,,,,,
4TH AVENUE BLDG LLC,af,602 253 701,Ann and Danny Schnitzer,Lakewood,,Seattle Real Estate - size undetermined,Possible duplicate,,1408 4TH AVE,,,,,,
4TH AVENUE BLDG LLC,af,604 065 660,Ann and Danny Schnitzer,Lakewood,,Seattle Real Estate - size undetermined,"It's somewhat hard to find anything on this, but there is an article about the gigantic billboard at the building that says it's owned by these two (and another article from the News Tribune that lists Ann Schnitzer as the owner of the business of the address). Currently for lease by West Coast Commercial Realty",,1408 4TH AVE,,,,,,
4&U COMMERCIAL LLC,af,604 924 093,Matt Rosauer,"Seattle, WA",,Seattle Real Estate - size undetermined,"Found article on BizJournals that Rosauer bought it via the LLC with an unnamed partner (the LLCs address is the same as Pine Street Group, which Rosauer leads)",,1404 4TH AVE,,,,,,
FANA DOYLE LLC,af,603 228 327,Fana Group,"Bellevue, WA",,Real Estate Investment & Management,"Address matches company, have the building listed on their portfolio",,117 PINE ST,,,,,,
TARGET CORPORATION,af,601 007 793,Target Corporation,"Minneapolis, MN",17.8,"Other large busines (chain store, storage, etc)","Matches LLC, address is Target's headquarters",,1401 2ND AVE,,,,,,
WASHINGTON STATE CONVENTION CENTER,af,601 074 722,Washington State Convention Center Public Facilities District,"Seattle, WA",N/A,"Government (Seattle, UW, etc)","Found on the wikipedia article, confirmed with district's website",Owned,800 CONVENTION PL,,,,,,
1200 HOWELL STREET LLC,af,603 485 893,Burrard,"Vancouver, BC and Seattle, WA",1.07,Real Estate Development and Management,"Found article about Skanska suing Burrard which stated they operate under the LLC (https://www.enr.com/articles/49314-skanska-and-seattle-condo-developer-seek-to-resolve-costly-tangle-of-disputes), Burrard's US office matches company address",Owned,1820 MINOR AVE,,,,,,
1942 WESTLAKE LP,af,604 488 643,Continental Properties LLC,"Bellevue, WA",,Seattle Real Estate - Large,"Found bizjournals article about refinancing, found article about purchase of tower by Continental",Owned,1942 WESTLAKE AVE,,,,,,
T-C ASPIRA LLC,af,603 251 720,TIAA CREF,#N/A,#N/A,#N/A,"Listed on the Wikipedia article, also found the sale article (https://www.bizjournals.com/seattle/news/2012/11/02/tiaa-cref-is-buyer-of-aspira-apartment.html)",Owned,1823 TERRY AVE,,,,,,
SIXTH & PINE BUILDING LLC,af,602 815 703,Center Seattle Managment LLC ,"Seattle, WA",,Seattle Real Estate (mom/pop),"It was a deep dive but found the LLC on open corporates, the agent's name is a former news reporter who's recent job states he ""currently runs a Seattle company managing commercial real estate assets.""",,521 PINE ST,,,,,,
VIKTORIA SEATTLE LLC,af,603 505 061,Greystar Real Estate Partners,"Charleston, SC",69,Real Estate Development and Management,"Found greystar management under the apartment website, is shown on their property, Greystar has job ads for the property",,1915 2ND AVE,,,,,,
PR 1430 SECOND LLC,af,604 855 791,PGIM,"Newark, NJ",1200,Asset Management,Found article on sale of building (https://news.theregistryps.com/pgim-buys-seattle-apartment-tower-for-293mm/); company address associated with Prudential,Owned,1430 2ND AVE,,,,,,
DOWNTOWN EMERGENCY SERVICE CENTER,af,601 142 394,Downtown Emergency Service Center,"Seattle, WA",N/A,Nonprofit,Address matches the organization; agent is the executive director,Owned,Multiple buildings,,,,,,
PLYMOUTH HOUSING GROUP,af,600 471 736,Plymouth Housing,"Seattle, WA",N/A,Affordable Housing (non-profit),"Agents are all board members or involved with nonprofit, address matches property",Owned,Multiple buildings,,,,,,
POST ALLEY COURT APARTMENTS NW LLC,af,602 313 631,Greystar Real Estate Partners,"Charleston, SC",69,Real Estate Development and Management,"GS logo on Post Alley Court website; apartments listed under Greystar website. I think they might be owned by Brad Simmons and Shannon Hart in Portland, though can't confirm that yet",Managed,1408 WESTERN AVE,,,,,,
PUBLIC STORAGE,af,602 740 958,Public Storage,"Glendale, CA",17.5,"Other large busines (storage, etc)",Address matches the Public Storage address,Owned,700 FAIRVIEW AVE N,,,,,,
SCD 2U LLC,af,603 490 488,Skanska Commercial Development,"New York, NY",12,Real Estate Development and Management,"Principal is a Skanska leader; all info about SCD 2U leads to Skanska including the address, and SCD is likely ""Skanska commercial development""",Owned,901 PINE ST,,,,,,
MADISON HOTEL LLC,af,601 816 426,R.C. Heeden Co,#N/A,#N/A,#N/A,"Searched Renaissance Hotel Seattle management, found the hotel on their portfolio",Owned,515 MADISON ST,,,,,,
ARCTIC CLUB HOTEL LLC,af,602 440 867,Oxford Collection,"Bend, OR",,Hotel Chain,Found article about building aquisition (https://www.djc.com/news/re/12150165.html),Owned,700 3RD AVE,,,,,,
HPT IHG-2 PROPERTIES TRUST,af,603 181 390,Service Properties Trust,"Newton, MA",11,Real Estate Investment,Listed as owned on the RMR Groups listing (who manage the hotel) https://www.rmrgroup.com/our-properties/default.aspx,Owned,1007 1ST AVE,,,,,,
AMERICAN HOTEL BUILDING LLC,af,602 840 118,Eagle Rock Ventures LLC,"Seattle, WA",,Seattle Real Estate - Large,"Searched agent, website has property on their portfolio",Owned,520 S KING ST,,,,,,
IND OCCIDENTAL 547 OWNER LLC,af,604 455 119,Redco Development LLC,"San Francisco, CA",,Real Estate Development and Management,"Searched company name, found article discussing their purchase of the building",Owned,547 OCCIDENTAL AVE S,,,,,,
WLAM PROPERTY ASSOCIATION,af,602 622 734,Wing Luke Museum,"Seattle, WA",N/A,Nonprofit,Address for the building and the company are the same; agents are board members/involved with museum,Owned,719 S KING ST,,,,,,
PIONEER BUILDING LEVEL OFFICE LLC,af,603 532 620,Expansive,"Chicago, IL",,Real Estate Investment & Management,"Agent is company founder, address matches the company, building listed on their website",Owned,600 1ST AVE,,,,,,
HINES NORTON SEATTLE LLC,af,604 816 375,Hines,"Houston, TX",95,Real Estate Investment,Found article about building aquisition (https://www.hines.com/news/hines-announces-the-acquisition-of-the-norton-building-in-seattle),Owned,801 2ND AVE,,,,,,
SAFECO PLAZA LLC,af,604 780 283,BXP ,"Boston, MA",8,Real Estate Development and Management,"Searched company address, have the property listed in their portfolio",Owned,1001 4TH AVE,,,,,,
VBGO 901 FIFTH SEA LLC,af,604 418 295,Vanbarton Group,"New York, NY",8.9,Real Estate Investment,"Listed as one of their properties on their website, agent is a rep from Vanbarton Group",Owned,901 5TH AVE,,,,,,
GO-BRICKMAN CENTRAL OWNER LLC,Y,604 300 012,Brickman Fund,Greenwich CT,0.175,Real Estate Development and Managment,https://www.connectcre.com/stories/brickman-greenoak-jv-buys-seattle-asset-for-68m-from-kbs/,Owned,810 3RD AVE,,,,,,
TATNUCK VENTURES LLC,af,602 628 574,American Nevada Company,"Henderson, NV",,Real Estate Development and Management,"Searched company address, have the property listed in their portfolio",Owned,157 YESLER WAY,,,,,,
RFA MASIN BLOCK LLC,af,604 773 676,Rubicon Point Partners,"San Francisco, CA",0.2,Real Estate Investment,Searched address and then governor,Owned,240 2ND AVE S,220 2ND AVE S,,,,,
REEDO LP,af,603 010 792,Nicola Wealth,"Vancouver, BC",9.7,Investment Management,Brochure says owned by Nicola Wealth (https://km-ndp-media-repository.s3.us-west-2.amazonaws.com/kmconnect/LISTING/11028628/FLYER.pdf)  found bizjournals that matches info,Owned,542 1ST AVE S,,,,,,
POLSON HOLDINGS LLC,af,603 591 729,Stanley Real Estate,"Seattle, WA",,Seattle Real Estate - size undetermined,"Searched company address which linked to Stanley Real Estate, property listed in their properties on the website. ",Managed,71 COLUMBIA ST,,,,,,
SEATTLE DOWNTOWN HOTEL & RESIDENCES LLC,af,603 340 323,Stanford Hotels Corporation,"San Francisco, CA",,Hotel Chain,"Searched company address, linked to Stanford Hotels. Found a SEPA review sent by Sharon Lai, who's linkedin shows work at ""One Vassar, Stanford Hotels, Cresleigh Homes and affiliates""",Owned,720 2ND AVE,,,,,,
BRICKMAN PACIFIC LLC,AL,603 445 367,Brickman Fund,Greenwich CT,0.175,Real Estate Development and Managment,"Directly named as Gov of Brickman Pacific LLC, then googled Brickman Fund",,720 3RD AVE,,,,,,
KAR STANDARD LLC,AL,604 145 518,TA Realty,"Boston, MA",12,Seattle Real Estate - Large,"Googling address 1 FEDERAL ST FL 17, BOSTON, found the HQ for enormous real estate investment firm TA Realty",,1012 1ST AVE,,,,,,